Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
IT Staff - Nhân Viên Công Nghệ Thông Tin,IT Professional,Junior,2,Amata City Bien Hoa Joint Stock Company,Đồng Nai,Thương lượng,"IT System Administration, IT Operations, IT Hardware, IT Helpdesk, Technical Support",Vietnamworks
Senior Backend Engineer (Hybrid Working),Backend Developer,Senior,5,N/A,N/A,$2000.00-4000.00,"Database Development, Typescript, Node.js, Docker, English Communication",Vietnamworks
Process Quality Assurance (IT Software),QA Engineer,Intermediate,4,Hitachi Digital Services,Hồ Chí Minh,Thương lượng,"Communication Skills, ISO 9001, Quality Assurance, Quality Auditing, Software Process Development",Vietnamworks
Senior Embedded Software Engineer (C Language/autosar) [Joining Bonus],Software Engineer,Senior,N/A,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Thương lượng,"Embedded Software, Software Engineering, Electrical, Embedded C programming",Vietnamworks
Python Test Automation Engineer,Software Engineer,Any Level,N/A,LG Electronics Development Viet Nam Company Limited,Hà Nội,$1000.00-2200.00,"Python, Linux, JavaScript, QML, Embedded",Vietnamworks
Phú Quốc - Chuyên Viên Giám Sát IT - Dự Án Park Hyatt,IT Professional,Any Level,N/A,Công Ty BIM Group Kiên Giang,N/A,$900.00-1200.00,"Quản Lý Cơ Điện, Giám Sát Cơ Điện, Điện Nhẹ, IT Project Management, IT Infrastructure Management",Vietnamworks
03 Project Manager & Business Analyst,Business Analyst,Lead/Expert,3,Thư Viện Pháp Luật,Hồ Chí Minh,$1700.00-3000.00,"Lập Trình HTML, Quản Lý Điều Phối Dự Án, .NET, SQL Server, Business Analaysis",Vietnamworks
Project Coordinator,Data Scientist,Any Level,N/A,The Grand Ho Tram,Vũng Tàu,Thương lượng,"Điều Phối Dự Án, Project Coordination, Project Management, English",Vietnamworks
Trưởng Bộ Phận Quản Lý Rủi Ro và Tuân Thủ CNTT,Security Engineer,Intermediate,3,Ngân Hàng TNHH Indovina – Hội Sở,Hồ Chí Minh,$1200.00-1400.00,"IT Governance, IT Security GRC, IT Security, Bảo mật thông tin, Quản Lý Rủi Ro",Vietnamworks
Hanoi_Senior Python Dev (Onboard After Tet Holiday)_V000008,Backend Developer,Senior,N/A,Công Ty TNHH ZIGExN VeNtura,Hồ Chí Minh,Thương lượng,"Python, Backend Development, Web Development, English Communication, Microservices",Vietnamworks
Kỹ Sư Helpdesk,IT Support,Intermediate,3,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hoá Dầu Khí",Hà Nội,$612.24,"IT System Administration, IT Helpdesk, WAN, MCSA, Helpdesk Management",Vietnamworks
IT Executive (Hanoi Head Office - 443),IT Professional,Lead/Expert,3,"Aeon Mall Vietnam Co., Ltd","Hà Nội, Hồ Chí Minh",$650.00-800.00,"Information Technology, Project Management, Infrastructure Security, Network, System Administration",Vietnamworks
Hardware Engineer,Software Engineer,Intermediate,3,N/A,N/A,$1000.00-1500.00,"Hardware Design, PCB Design, Digital Electronics, Integrated Circuit Design, Problem-solving",Vietnamworks
System Architect,System Architect,Senior,5,Công Ty Cổ Phần Tập Đoàn Golden Gate,Hà Nội,Thương lượng,"Software System Architecture, Linux, Java, .NET, PHP",Vietnamworks
Chuyên Viên IT (Công Ty Chứng Khoán),IT Professional,Intermediate,3,Công Ty Cổ Phần Chứng Khoán Asam,Hồ Chí Minh,Thương lượng,"Quản Trị Hệ Thống Mạng, Vận Hành Hệ Thống Phần Mềm, Cài Đặt Hệ Thống Ảo Hóa, Khắc Phục Lỗi Phần Mềm",Vietnamworks
Quality Assurance Specialist,QA Engineer,Any Level,N/A,Arctx Solution LLC,Hồ Chí Minh,Thương lượng,"QA, Communications, Attention To Detail",Vietnamworks
Presales Network Engineer,Software Engineer,Senior,5,Công Ty TNHH Tổng Công Ty Công Nghệ & Giải Pháp CMC (CMC TS),Hà Nội,$1000.00-2000.00,"Consulting, English communication",Vietnamworks
Senior Data Analyst,Data Analyst,Senior,3,Công Ty Cổ Phần Kinh Doanh F88,Hà Nội,$900.00-1500.00,"Data Analytics, Oracle, AWS, Phân Tích Dữ Liệu, Tài Chính",Vietnamworks
"Japanese Business Operations Staff (in HCM, Hanoi, Da Nang)",Data Scientist,Junior,2,Hitachi Digital Services,Hồ Chí Minh,Thương lượng,"Japanese, Document, Customer service skills, System Operations, English",Vietnamworks
Uipath Developer,Software Developer,Any Level,N/A,Ngân Hàng TNHH Indovina – Hội Sở,Hồ Chí Minh,Thương lượng,"UI Path, RPA, Phân Tích Nghiệp Vụ, RPA Coding, Test Case Design",Vietnamworks
Quản Lý Dự Án CNTT,Data Scientist,Senior,5,Công Ty TNHH Công Nghệ Nguyên Lộc,Hà Nội,$20.41-30.61,"IT Phần Cứng, Quản Lý Dự Án, Project Management, Tư Vấn, Tư vấn kỹ thuật",Vietnamworks
"Bridge System Engineer (Brse, Japanese N1/n2) - Upto $2000",Systems Engineer,Intermediate,3,TPS Software,Hồ Chí Minh,$700.00-2000.00,"Japanese N2, Software Process Development, Technical Specification Analysis, Kỹ Sư Cầu Nối, BrSE",Vietnamworks
Chuyên Viên Tối Ưu Vận Hành Ngành TMĐT Quốc Tế Amazon Thu Nhập 15-20Tr,Data Scientist,Junior,1,Công Ty TNHH Equarus Decor,Hà Nội,$612.24-816.33,"ERP, Odoo, E Commerce, Quản Lý Hiệu Suất, Quản Lý Cở Sở Dữ Liệu",Vietnamworks
Kĩ Sư IBS (Chi Nhánh HN),Embedded Systems Engineer,Any Level,N/A,Công Ty Cổ Phần Xây dựng Hạ tầng Kỹ thuật,Hà Nội,$244.90-408.16,"Điện Tử Viễn Thông, Xử Lý Sự Cố, Tin Học Văn Phòng, Kỹ thuật, Viễn Thông",Vietnamworks
System Engineer,Systems Engineer,Senior,5,N/A,N/A,Thương lượng,"Azure, Network Management, PowerShell, Systems Engineering, Microsoft Server SQL",Vietnamworks
Risk Analytics Supervisor,Data Scientist,Any Level,N/A,Shinhan Vietnam Finance Company Limited,Hồ Chí Minh,$800.00-1200.00,"Risk Monitoring, Risk Analysis, Risk Management, SQL, Python",Vietnamworks
SAP FICO Consultant,SAP Consultant,Junior,1,Citek Technology Joint-Stock Company,Hồ Chí Minh,Thương lượng,"SAP Business Intelligence, SAP Accounting, SAP ERP, ERP Dynamic, ERP System",Vietnamworks
Chuyên Viên Kỹ Thuật,Data Scientist,Any Level,N/A,Công Ty TNHH Thiết Bị Viễn Thông ANSV,"Hà Nội, Hồ Chí Minh",$1750.00,"Công Nghệ Thông Tin, Điện Tử Viễn Thông, Quản Trị Mạng, Triển Khai Dự Án, Hỗ Trợ Kỹ Thuật",Vietnamworks
Product Solutions Manager,Data Analyst,Lead/Expert,3,Prudential Vietnam Assurance,Hồ Chí Minh,Thương lượng,"Communication Skills, Customer Centric, Data Analytics, Product Development, Project Management",Vietnamworks
Data Processing Intern,Data Scientist,Intern/Entry-level,N/A,Fiingroup,Hồ Chí Minh,Thương lượng,"Data Entry, Data Processing",Vietnamworks
iOS App Developer,Mobile Developer,Senior,5,Cathay United Bank,Taiwan,Thương lượng,"Agile Development, CI/CD, Clean Architecture, MVVM Architecture, RESTful API",Vietnamworks
IT System & Network Administrator,Network Administrator,Any Level,N/A,Công Ty TNHH R Techno Việt Nam,Hồ Chí Minh,$600.00-1000.00,"IT System Administration, IT Hardware, Technical Support, Tiếng Nhật Trung Cấp, Quản Trị Mạng Lan",Vietnamworks
Product Owner - Generative AI for Enterprise Customer Operations,Product Manager,Senior,5,Trusting Social,Hồ Chí Minh,$2000.00-3000.00,"product owner, Product Development, business analyst, Product Management",Vietnamworks
Incubation Lead,Business Analyst,Lead/Expert,5,Công Ty TNHH Onpoint,Hồ Chí Minh,Thương lượng,"Innovation Management, Product Development, Technology, Market Research, Startup Development",Vietnamworks
