Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
QA Manager (Apparel),QA engineer,Lead/Expert,10,Navigos Search,"hanoi, hcmc",$2000.00,"Quality Assurance, Quality Control, Garment Construction, Manufacture Process, English Communication",Vietnamworks
IT Staff - Nhân Viên Công Nghệ Thông Tin,IT professional,Junior,2,Amata City Bien Hoa Joint Stock Company,dong nai province,Thương lượng,"IT System Administration, IT Operations, IT Hardware, IT Helpdesk, Technical Support",Vietnamworks
Senior Backend Engineer (Hybrid Working),backend developer,Senior,5,,Hồ Chí Minh,$2000.00,"Database Development, Typescript, Node.js, Docker, English Communication",Vietnamworks
Process Quality Assurance (IT Software),QA engineer,Intermediate,4,Hitachi Digital Services,hồ chí minh,Thương lượng,"Communication Skills, ISO 9001, Quality Assurance, Quality Auditing, Software Process Development",Vietnamworks
Senior Embedded Software Engineer (C Language/autosar) [Joining Bonus],software engineer,Any Level,N/A,Bosch Global Software Technologies Company Limited,hcm,Thương lượng,"Embedded Software, Software Engineering, Electrical, Embedded C programming",Vietnamworks
Python Test Automation Engineer,software engineer,Any Level,N/A,LG Electronics Development Viet Nam Company Limited,hà nội,$1000.00,"Python, Linux, JavaScript, QML, Embedded",Vietnamworks
Phú Quốc - Chuyên Viên Giám Sát IT - Dự Án Park Hyatt,IT professional,Any Level,N/A,Công Ty BIM Group Kiên Giang,Hồ Chí Minh,$900.00,"Quản Lý Cơ Điện, Giám Sát Cơ Điện, Điện Nhẹ, IT Project Management, IT Infrastructure Management",Vietnamworks
03 Project Manager & Business Analyst,business analyst,Intermediate,3,Thư Viện Pháp Luật,hcm,$1700.00,"Lập Trình HTML, Quản Lý Điều Phối Dự Án, .NET, SQL Server, Business Analaysis",Vietnamworks
Project Coordinator,data scientist,Any Level,N/A,The Grand Ho Tram,vung tau,Thương lượng,"Điều Phối Dự Án, Project Coordination, Project Management, English",Vietnamworks
Trưởng Bộ Phận Quản Lý Rủi Ro và Tuân Thủ CNTT,security engineer,Intermediate,3,Ngân Hàng TNHH Indovina – Hội Sở,tp.hcm,$1200.00,"IT Governance, IT Security GRC, IT Security, Bảo mật thông tin, Quản Lý Rủi Ro",Vietnamworks
Hanoi_Senior Python Dev (Onboard After Tet Holiday)_V000008,backend developer,Any Level,N/A,Công Ty TNHH ZIGExN VeNtura,hcmc,Thương lượng,"Python, Backend Development, Web Development, English Communication, Microservices",Vietnamworks
Kỹ Sư Helpdesk,IT support,Intermediate,3,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hoá Dầu Khí",hà nội,$612.00,"IT System Administration, IT Helpdesk, WAN, MCSA, Helpdesk Management",Vietnamworks
IT Executive (Hanoi Head Office - 443),IT professional,Intermediate,3,"Aeon Mall Vietnam Co., Ltd","hanoi, hcmc",$650.00,"Information Technology, Project Management, Infrastructure Security, Network, System Administration",Vietnamworks
Hardware Engineer,software engineer,Intermediate,3,,Hồ Chí Minh,$1000.00,"Hardware Design, PCB Design, Digital Electronics, Integrated Circuit Design, Problem-solving",Vietnamworks
System Architect,system architect,Senior,5,Công Ty Cổ Phần Tập Đoàn Golden Gate,hà nội,Thương lượng,"Software System Architecture, Linux, Java, .NET, PHP",Vietnamworks
Chuyên Viên IT (Công Ty Chứng Khoán),IT professional,Intermediate,3,Công Ty Cổ Phần Chứng Khoán Asam,tp.hcm,Thương lượng,"Quản Trị Hệ Thống Mạng, Vận Hành Hệ Thống Phần Mềm, Cài Đặt Hệ Thống Ảo Hóa, Khắc Phục Lỗi Phần Mềm",Vietnamworks
Quality Assurance Specialist,QA engineer,Any Level,N/A,Arctx Solution LLC,hồ chí minh,Thương lượng,"QA, Communications, Attention To Detail",Vietnamworks
Presales Network Engineer,software engineer,Senior,5,Công Ty TNHH Tổng Công Ty Công Nghệ & Giải Pháp CMC (CMC TS),hà nội,$1000.00,"Consulting, English communication",Vietnamworks
Senior Data Analyst,data analyst,Intermediate,3,Công Ty Cổ Phần Kinh Doanh F88,hà nội,$900.00,"Data Analytics, Oracle, AWS, Phân Tích Dữ Liệu, Tài Chính",Vietnamworks
"Japanese Business Operations Staff (in HCM, Hanoi, Da Nang)",data scientist,Junior,2,Hitachi Digital Services,hồ chí minh,Thương lượng,"Japanese, Document, Customer service skills, System Operations, English",Vietnamworks
Uipath Developer,software developer,Any Level,N/A,Ngân Hàng TNHH Indovina – Hội Sở,tp.hcm,Thương lượng,"UI Path, RPA, Phân Tích Nghiệp Vụ, RPA Coding, Test Case Design",Vietnamworks
Quản Lý Dự Án CNTT,data scientist,Senior,5,Công Ty TNHH Công Nghệ Nguyên Lộc,hà nội,$20.00,"IT Phần Cứng, Quản Lý Dự Án, Project Management, Tư Vấn, Tư vấn kỹ thuật",Vietnamworks
"Bridge System Engineer (Brse, Japanese N1/n2) - Upto $2000",systems engineer,Intermediate,3,TPS Software,hcmc,$700.00,"Japanese N2, Software Process Development, Technical Specification Analysis, Kỹ Sư Cầu Nối, BrSE",Vietnamworks
Chuyên Viên Tối Ưu Vận Hành Ngành TMĐT Quốc Tế Amazon Thu Nhập 15-20Tr,data scientist,Junior,1,Công Ty TNHH Equarus Decor,hà nội,$612.00,"ERP, Odoo, E Commerce, Quản Lý Hiệu Suất, Quản Lý Cở Sở Dữ Liệu",Vietnamworks
Kĩ Sư IBS (Chi Nhánh HN),embedded systems engineer,Any Level,N/A,Công Ty Cổ Phần Xây dựng Hạ tầng Kỹ thuật,hà nội,$244.00,"Điện Tử Viễn Thông, Xử Lý Sự Cố, Tin Học Văn Phòng, Kỹ thuật, Viễn Thông",Vietnamworks
System Engineer,systems engineer,Senior,5,,Hồ Chí Minh,Thương lượng,"Azure, Network Management, PowerShell, Systems Engineering, Microsoft Server SQL",Vietnamworks
Risk Analytics Supervisor,data scientist,Any Level,N/A,Shinhan Vietnam Finance Company Limited,hcmc,$800.00,"Risk Monitoring, Risk Analysis, Risk Management, SQL, Python",Vietnamworks
SAP FICO Consultant,SAP consultant,Junior,1,Citek Technology Joint-Stock Company,hcmc,Thương lượng,"SAP Business Intelligence, SAP Accounting, SAP ERP, ERP Dynamic, ERP System",Vietnamworks
Chuyên Viên Kỹ Thuật,data scientist,Any Level,N/A,Công Ty TNHH Thiết Bị Viễn Thông ANSV,"hà nội, hồ chí minh",$1750.00,"Công Nghệ Thông Tin, Điện Tử Viễn Thông, Quản Trị Mạng, Triển Khai Dự Án, Hỗ Trợ Kỹ Thuật",Vietnamworks
Product Solutions Manager,data analyst,Intermediate,3,Prudential Vietnam Assurance,thành phố hồ chí minh,Thương lượng,"Communication Skills, Customer Centric, Data Analytics, Product Development, Project Management",Vietnamworks
Data Processing Intern,data scientist,Any Level,N/A,Fiingroup,hồ chí minh,Thương lượng,"Data Entry, Data Processing",Vietnamworks
iOS App Developer,mobile developer,Senior,5,Cathay United Bank,taiwan,Thương lượng,"Agile Development, CI/CD, Clean Architecture, MVVM Architecture, RESTful API",Vietnamworks
IT System & Network Administrator,network administrator,Any Level,N/A,Công Ty TNHH R Techno Việt Nam,tp.hcm,$600.00,"IT System Administration, IT Hardware, Technical Support, Tiếng Nhật Trung Cấp, Quản Trị Mạng Lan",Vietnamworks
Product Owner - Generative AI for Enterprise Customer Operations,product manager,Senior,5,Trusting Social,hcmc,$2000.00,"product owner, Product Development, business analyst, Product Management",Vietnamworks
Incubation Lead,data scientist,Senior,5,Công Ty TNHH Onpoint,tp.hcm,Thương lượng,"Innovation Management, Product Development, Technology, Market Research, Startup Development",Vietnamworks
Senior PHP Developer (React),software developer,Any Level,N/A,Arctx Solution LLC,hồ chí minh,Thương lượng,"React Js, PHP, communication, Goal Oriented, Time Management",Vietnamworks
Nhân Viên Quản Trị Mạng – Netwok Staff,network engineer,Junior,1,Global Data Service Joint Stock Company (Gds),hanoi,$0.00,"Firewall, IT System Administration, CCNA, Networking, Cấu Hình Router",Vietnamworks
IT Manager,IT professional,Senior,5,Maybank Vietnam,hcm,Thương lượng,"Banking Operation, Banking System, Customer Service, IT Management, IT Security",Vietnamworks
Chuyên Viên ERP Phân Hệ Tài Chính Kế Toán,SAP consultant,Any Level,N/A,"TOSY Robotics Manufacturing Co., Ltd",hà nội,Thương lượng,"Power BI, Công nghệ thông tin, ERP, Kế toán, SAP",Vietnamworks
Chuyên Viên Quản Lý Hồ Sơ Dự Án - K.CNTT,data scientist,Junior,2,Ngân Hàng TMCP Đại Chúng Việt Nam,hà nội,$1000.00,"Quản Trị Dữ Liệu Ngân Hàng, Hồ Sơ Dự Án, Công Nghệ Thông Tin, Lưu Trữ Hồ Sơ, Tổng Hợp Tài Liệu",Vietnamworks
Experienced Salesforce Developer - French,software developer,Intermediate,4,Capgemini Vietnam,thành phố hồ chí minh,Thương lượng,"Salesforce, Apex development, Cloud, French, Salesforce Development",Vietnamworks
3 Web Developer .NET Or App Mobile,mobile developer,Junior,1,Thư Viện Pháp Luật,hồ chí minh,$800.00,"Lập Trình, .NET Core 2.0, AngularJS, Bất động sản, Tuyển Dụng",Vietnamworks
Solution / Technical Architect ( ReactJS or Flutter ),IT professional,Senior,5,GTV Vietnam,hcmc,Thương lượng,"Solution Architecture, Mobile Application Development, React Js, Flutter, Front End",Vietnamworks
Digital Workflow Solutions Business Analyst,business analyst,Junior,1,Crown Worldwide,hồ chí minh,Thương lượng,"Recording System, Workflow Management, Digital Solution, Process Improvement, Business analysis",Vietnamworks
Chuyên Viên Kiểm Thử,QA engineer,Junior,1,Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,hà nội,Thương lượng,"ISTQB, Kiểm Thử, SDLC, Tài chính Ngân hàng, Testing",Vietnamworks
IT Assistant Manager (SAP FICO),IT professional,Junior,2,Công Ty TNHH Sơn TOA Việt Nam,bình dương,Thương lượng,"Anh Văn Giao Tiếp, SAP FICO, IT Phần Mềm",Vietnamworks
Chuyên Viên Quản Lý Hiệu Suất (KPI) - Tiếng Trung,data analyst,Junior,1,Công Ty TNHH Best Logistics Technology (Việt Nam),hcm,$800.00,"KPI Management, Data Analysis, Business analysis, Power BI, Data Studio",Vietnamworks
Web Designer Full Stack - Vietnam,full stack developer,Junior,2,Audexaus,ho chi minh,$1000.00,"CSS, HTML, JavaScript, Problem-solving, Version Control",Vietnamworks
Chuyên Viên/ Chuyên Gia Tư Vấn Chuyển Đổi Số (DX Consultant),backend developer,Intermediate,3,Công Ty TNHH Tổng Công Ty Công Nghệ & Giải Pháp CMC (CMC TS),hà nội,$0.00,"Chuyển đổi số, ITIL Foundation, Agile, Chuyển đổi số, Chuyển đổi số, Chuyển đổi số, Chuyển đổi số, Digital transformation, Scrum Master",Vietnamworks
Technical Leader for Japan Market,tech lead,Any Level,N/A,"ISV Vietnam Co.,ltd",tp.hcm,Thương lượng,"Java, C#, Japanese N4, SQL, .NET",Vietnamworks
UX Designer,UX/UI designer,Junior,2,Navigos Search,"hanoi, hcmc",$1500.00,"UX Design, Design systems, Agile Leadership, Figma, Communication",Vietnamworks
Trợ Lý Chủ Tịch HĐQT Phụ Trách Đối Ngoại và Nghiên Cứu Chiến Lược Đầu Tư,data scientist,Senior,5,Công Ty Cổ Phần Unik Holdings,hà nội,Thương lượng,"CFA, Tài Chính, Đầu Tư, Thẩm Định Giá, Huy Động Vốn",Vietnamworks
