Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform,Job Link
SAP FICO Specialist,,,Trên 2 Năm,Wipro Consumer Care Vietnam,Bình Dương,Cạnh tranh,SAP,Careerviet,https://careerviet.vn/vi/tim-viec-lam/sap-fico-specialist.35C21674.html
Chuyên Gia Hoạch Định Dữ Liệu,,,Trên 5 Năm,NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Hà Nội,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-hoach-dinh-du-lieu.35C21407.html
Chuyên viên Quản trị dữ liệu - Khối Tài chính,,,1 - 3 Năm,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cạnh tranh,"SQL, Power BI, MySQL, Spark, ETL, Pentaho",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-du-lieu-khoi-tai-chinh.35C1B94A.html
Cộng tác viên Giám sát an ninh thông tin,,,,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/cong-tac-vien-giam-sat-an-ninh-thong-tin.35C20D49.html
Nhân viên kiểm thử,,,1 - 3 Năm,Công Ty TNHH Phần Mềm DTS Việt Nam,Hà Nội,12 Tr - 25 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kiem-thu.35C1B638.html
Trưởng nhóm Công nghệ thông tin (Web/App),,,,VinWonders,Hà Nội,30 Tr - 50 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-cong-nghe-thong-tin-web-app.35C1FDCF.html
Trưởng Phòng phát triển CRM,,,,CÔNG TY TNHH FDI FINANCE,Hà Nội,20 Tr - 35 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/truong-phong-phat-trien-crm.35C1FF72.html
Chuyên viên Phát triển ứng dụng Công nghệ thông tin,,,Trên 2 Năm,OCEAN BANK - NGÂN HÀNG THƯƠNG MẠI TNHH MTV ĐẠI DƯƠNG,Hà Nội,Cạnh Tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-ung-dung-cong-nghe-thong-tin.35C1FC6E.html
Business Analyst,,,3 - 7 Năm,Công Ty Cổ Phần Metub Việt Nam,Hà Nội,Cạnh Tranh,"JIRA, Confluence, Agile",Careerviet,https://careerviet.vn/vi/tim-viec-lam/business-analyst.35C1FE22.html
Solution Architect - Hybrid working,,,3 - 5 Năm,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI  (SHBFinance),Hà Nội,Cạnh Tranh,"Python, Java, React, NodeJS, AWS, Azure, Angular, CI/CD, Agile, Scrum, Android, iOS, Flutter",Careerviet,https://careerviet.vn/vi/tim-viec-lam/solution-architect-hybrid-working.35C1FC4B.html
Senior Business Intelligence Analyst - Corporate Banking - Hà Nội,,,4 - 6 Năm,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Cạnh Tranh,"SQL, Excel, R",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-business-intelligence-analyst-corporate-banking-ha-noi.35C1FC5C.html
[CVP] Chuyên gia Phân tích dữ liệu,,,5 - 7 Năm,Công Ty Tài Chính TNHH MB SHINSEI (MCREDIT),Hà Nội,Cạnh Tranh,"Python, SQL, Tableau, Power BI, Excel",Careerviet,https://careerviet.vn/vi/tim-viec-lam/cvp-chuyen-gia-phan-tich-du-lieu.35C1F8FC.html
Chuyên Viên Quản Lý Chương Trình,,,Trên 3 Năm,CÔNG TY CỔ PHẦN TẬP ĐOÀN HÒA PHÁT,Hà Nội,Cạnh Tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-chuong-trinh.35C190F2.html
[Rey Hotel Hà Nội] -  Trưởng Nhóm Quản Trị Hệ Thống CNTT(Mới),,,2 - 3 Năm,Công Ty Cổ Phần In Holdings,Hà Nội,25 Tr - 30 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/rey-hotel-ha-noi-truong-nhom-quan-tri-he-thong-cntt.35C2800E.html
CHUYÊN VIÊN PHÁT TRIỂN PHẦN MỀM(Mới),,,5 - 10 Năm,HR Vietnam’s ESS Client,Hà Nội,"1,000 - 1,200 USD","Python, Java, PHP, MySQL",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-phan-mem.35C27FB1.html
PLC Maintenance Senior Staff Engineer(Mới),,,1 - 3 Năm,Công ty TNHH Omron Healthcare Manufacturing Việt Nam,Bình Dương,Cạnh Tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/plc-maintenance-senior-staff-engineer.35C27EDB.html
NHÂN VIÊN KỸ THUẬT - ĐI CA(Mới),,,1 - 3 Năm,Action Composites Hightech Industries,Đồng Nai,Cạnh Tranh,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-di-ca.35C27E18.html
KTV VẬN HÀNH MÁY - ĐI CA(Mới),,,1 - 3 Năm,Action Composites Hightech Industries,Đồng Nai,Cạnh Tranh,Excel,Careerviet,https://careerviet.vn/vi/tim-viec-lam/ktv-van-hanh-may-di-ca.35C27E17.html
IT MANAGER(Mới),,,5 - 7 Năm,Action Composites Hightech Industries,Đồng Nai,Cạnh Tranh,"SQL, Linux, VMware, SAP",Careerviet,https://careerviet.vn/vi/tim-viec-lam/it-manager.35C27E00.html
Trưởng nhóm Vận hành,,,Trên 3 Năm,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà Nội,Cạnh Tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-van-hanh.35C22604.html
Quản trị mạng - Network Engineer,,,2 - 4 Năm,Tổng Công ty Cổ phần Công trình Viettel,Hà Nội,20 Tr - 25 Tr VND,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/quan-tri-mang-network-engineer.35C225F8.html
Kỹ sư giải pháp Giao thông thông minh ( Presales ITS),,,Trên 3 Năm,Công ty Cổ phần Công nghệ - Viễn thông Elcom,Hà Nội,Cạnh Tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/ky-su-giai-phap-giao-thong-thong-minh-presales-its.35C226AA.html
Network-Security Presale (Tư Vấn Giải Pháp),,,Trên 5 Năm,Công ty Cổ phần Công nghệ - Viễn thông Elcom,Hà Nội,Cạnh Tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/network-security-presale-tu-van-giai-phap.35C226C1.html
Chuyên viên Data Architect,,,Trên 2 Năm,CÔNG TY TNHH FDI FINANCE,Hà Nội,Trên 25 Tr VND,"Python, Java, SQL, JavaScript, NodeJS, ETL, BigQuery",Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-data-architect.35C22828.html
Electronics Technical Support Team Leader (Automotive),,,4 - 10 Năm,CÔNG TY TNHH CARTRACK VIETNAM,Hồ Chí Minh,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/electronics-technical-support-team-leader-automotive.35C226E9.html
Head of Data Architecture & Governance Department,,,10 - 15 Năm,FE CREDIT,Hồ Chí Minh,Cạnh tranh,"SQL, Analysis, JIRA",Careerviet,https://careerviet.vn/vi/tim-viec-lam/head-of-data-architecture-governance-department.35C225C1.html
Chuyên viên Kiểm thử Phần mềm (Tester),,,Trên 1 Năm,Ngân hàng Thương mại cổ phần Đông Nam Á (SeABank),Hà Nội,Cạnh tranh,,Careerviet,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kiem-thu-phan-mem-tester.35C22560.html
Senior Java Developer,,,4 - 5 Năm,HR Vietnam’s ESS Client,Hồ Chí Minh,Cạnh tranh,"Java, Docker, AWS, Spring, Redis, Ansible, Agile, Kafka",Careerviet,https://careerviet.vn/vi/tim-viec-lam/senior-java-developer.35C244EB.html
QC/ Tester (Kinh nghiệm Manual lẫn Auto),,,2 - 4 Năm,CÔNG TY TNHH CÔNG NGHỆ THỂ THAO OOKK,Hồ Chí Minh,Cạnh tranh,"SQL, Docker, CI/CD",Careerviet,https://careerviet.vn/vi/tim-viec-lam/qc-tester-kinh-nghiem-manual-lan-auto.35C24610.html
